,precision,recall,f1-score,support
1,0.21739130434782608,0.18518518518518517,0.2,54.0
2,0.2054794520547945,0.21739130434782608,0.2112676056338028,69.0
3,0.075,0.057692307692307696,0.06521739130434782,52.0
4,0.2692307692307692,0.22950819672131148,0.24778761061946902,61.0
5,0.21348314606741572,0.296875,0.24836601307189543,64.0
accuracy,0.20333333333333334,0.20333333333333334,0.20333333333333334,0.20333333333333334
macro avg,0.19611693434016111,0.1973303987893261,0.19452772412590302,300.0
weighted avg,0.19967736965984986,0.20333333333333334,0.199264127403158,300.0
