,precision,recall,f1-score,support
1,0.10526315789473684,0.1111111111111111,0.10810810810810811,54.0
2,0.3,0.391304347826087,0.33962264150943394,69.0
3,0.2037037037037037,0.21153846153846154,0.20754716981132076,52.0
4,0.2127659574468085,0.16393442622950818,0.18518518518518517,61.0
5,0.25,0.203125,0.22413793103448276,64.0
accuracy,0.22333333333333333,0.22333333333333333,0.22333333333333333,0.22333333333333333
macro avg,0.21434656380904976,0.21620266934103355,0.2129202071297062,300.0
weighted avg,0.21985175507721233,0.22333333333333333,0.21901792271560216,300.0
RMSE,,,,2.0566963801203135
