,precision,recall,f1-score,support
1,0.3,0.2222222222222222,0.2553191489361702,54.0
2,0.2755102040816326,0.391304347826087,0.32335329341317365,69.0
3,0.23529411764705882,0.15384615384615385,0.18604651162790697,52.0
4,0.1891891891891892,0.22950819672131148,0.2074074074074074,61.0
5,0.24074074074074073,0.203125,0.22033898305084745,64.0
accuracy,0.24666666666666667,0.24666666666666667,0.24666666666666667,0.24666666666666667
macro avg,0.2481468503317243,0.24000118412315494,0.23849306888710115,300.0
weighted avg,0.24797815382409222,0.24666666666666667,0.24175525553273142,300.0
RMSE,,,,1.8583146486355138
