,precision,recall,f1-score,support
1,0.19607843137254902,0.37037037037037035,0.2564102564102564,54.0
2,0.3,0.08695652173913043,0.1348314606741573,69.0
3,0.25,0.19230769230769232,0.21739130434782608,52.0
4,0.26229508196721313,0.5245901639344263,0.34972677595628415,61.0
5,0.375,0.09375,0.15,64.0
accuracy,0.24666666666666667,0.24666666666666667,0.24666666666666667,0.24666666666666667
macro avg,0.27667470266795247,0.2535949496703239,0.22167195947770474,300.0
weighted avg,0.28096078431372545,0.24666666666666667,0.21795735264030328,300.0
RMSE,,,,1.937352144896052
