,precision,recall,f1-score,support
1,0.1875,0.1111111111111111,0.13953488372093023,54.0
2,0.1935483870967742,0.17391304347826086,0.183206106870229,69.0
3,0.13709677419354838,0.3269230769230769,0.19318181818181818,52.0
4,0.2459016393442623,0.2459016393442623,0.2459016393442623,61.0
5,0.2857142857142857,0.09375,0.1411764705882353,64.0
accuracy,0.18666666666666668,0.18666666666666668,0.18666666666666668,0.18666666666666668
macro avg,0.2099522172697741,0.19031977417134222,0.18060018374109502,300.0
weighted avg,0.21298195084485408,0.18666666666666668,0.18085617919359212,300.0
